id,date,discount,manufacturer_id,product,product_id,quantity,store_id,total_value,value
83,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.32,3_13,2.88,8.99
84,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.77,3_8,6.92,8.99
85,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.37,3_8,3.33,8.99
86,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.32,3_8,2.88,8.99
87,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,655,3_13,5.89,8.99
88,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,255,3_8,2.29,8.99
89,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.56,3_8,5.03,8.99
90,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.57,3_8,5.12,8.99
91,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.33,3_13,2.97,8.99
92,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,0.58,3_8,5.21,8.99
93,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,325,3_13,2.92,8.99
94,2019-06-03,0.0,554,HORTFG PERA IMPORTADA KG,3340,405,3_8,3.64,8.99
95,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,0.59,3_8,5.89,9.98
96,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,615,3_13,6.61,10.74
97,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,365,3_8,3.64,9.98
98,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,465,3_13,4.99,10.74
99,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,0.39,3_8,3.89,9.98
100,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,0.43,3_8,4.29,9.98
101,2019-06-03,0.0,554,HORTFG MACA GRANDSMITH KG,971,755,3_8,7.53,9.98
102,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.25,3_8,2.5,9.98
103,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.52,3_8,5.19,9.98
104,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.36,3_13,3.6,9.99
105,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.17,3_8,1.7,9.98
106,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,315,3_8,3.14,9.98
107,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.26,3_8,2.59,9.98
108,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,415,3_8,4.14,9.98
109,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.36,3_8,3.59,9.98
110,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,415,3_8,4.14,9.98
111,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.22,3_8,2.2,9.98
112,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,245,3_8,2.45,9.98
113,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,0.51,3_8,5.09,9.98
114,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,315,3_8,3.14,9.98
115,2019-06-03,0.0,554,HORTFG AMEIXA IMPORTADA KG,3149,235,3_8,2.35,9.98
